	URL
181	https://rever.vn/mua/can-ho-the-pegasuite-1-tang-trung-day-du-noi-that
182	https://rever.vn/mua/can-ho-saigon-royal-day-du-noi-that-view-noi-khu-ho-boi
183	https://rever.vn/mua/ban-can-ho-tang-cao-q7-saigon-riverside-2-phong-ngu-dien-tich-66-66m2
184	https://rever.vn/mua/can-ho-dao-kim-cuong-tang-thap-1-phong-ngu-day-du-noi-that
185	https://rever.vn/mua/ban-can-ho-diamond-island-dao-kim-cuong-2pn-tang-cao-thap-bora-bora-view-song-va-ho-boi-1
186	https://rever.vn/mua/ban-can-ho-the-cbd-premium-home-2pn-tang-cao-dien-tich-63m2-day-du-noi-that
187	https://rever.vn/mua/can-ho-chung-cu-doan-van-bo-ban-cong-huong-dong-nam-view-noi-khu
188	https://rever.vn/mua/can-ho-tang-8-chung-cu-precia-huong-tay-nam-noi-that-co-ban
189	https://rever.vn/mua/ban-can-ho-saigon-mia-2pn-tang-7-dien-tich-55m2-noi-that-co-ban
190	https://rever.vn/mua/can-ho-vinhomes-grand-park-tang-cao-khong-kem-noi-that
191	https://rever.vn/mua/nha-pho-co-so-hong-rieng-ban-giao-ngay-view-huong-bac
192	https://rever.vn/mua/can-ho-vinhomes-grand-park-phong-khach-view-noi-khu-1-phong-ngu
193	https://rever.vn/mua/mls-nha-pho-tan-binh-huong-dong-dien-tich-dat-54m2-noi-that-co-ban
194	https://rever.vn/mua/can-ho-safira-khang-dien-view-ho-boi-huong-tay-bac
195	https://rever.vn/mua/can-ho-sunshine-city-saigon-ban-cong-rong-rai-thoang-mat
196	https://rever.vn/mua/can-ho-chung-cu-i-home-1-day-du-noi-that-view-tang-cao-thoang-mat
197	https://rever.vn/mua/ban-can-ho-huong-dong-noi-that-co-ban-vinhomes-grand-park
198	https://rever.vn/mua/mls-nha-pho-hem-xe-hoi-huong-bac-so-hong-rieng-dien-tich-51m2
199	https://rever.vn/mua/can-ho-the-sun-avenue-day-du-noi-that-view-dong-nam-huong-song
200	https://rever.vn/mua/can-ho-tang-cao-vinhomes-grand-park-huong-view-song
201	https://rever.vn/mua/ban-nha-hem-phan-van-tri-so-do-chinh-chu-ban-giao-don-vao-o-ngay
202	https://rever.vn/mua/can-ho-d-lusso-block-a-noi-that-co-ban-2-phong-ngu
203	https://rever.vn/mua/ban-can-ho-saigon-south-residence-2pn-dien-tich-71m2-ban-giao-tho-view-song-va-phu-my-hung
204	https://rever.vn/mua/can-ho-city-gate-3-tang-cao-ban-giao-noi-that-co-ban-2
205	https://rever.vn/mua/can-ho-tang-thap-riverpark-premier-view-noi-khu-noi-that-day-du
206	https://rever.vn/mua/nha-pho-mat-tien-huong-tay-khu-dan-cu-an-ninh-yen-tinh
